rho,Wq S1 (No XAI) (h),Wq S2 (Partial XAI) (h),Wq S3 (Full XAI) (h)
0.3,15.014,4.914,1.611
0.5,35.032,11.466,3.758
0.6,52.548,17.199,5.637
0.7,81.741,26.754,8.769
0.8,140.127,45.864,15.033
0.9,315.286,103.195,33.824
0.95,665.604,217.856,71.407
